"Gender.Code","Race","Hispanic.Origin","Education","Year","min_age","max_age","variable"
"A","White","Not Hispanic or Latino","666",2008,0,24,"WNAA00024"
"A","White","Hispanic or Latino","666",2008,0,24,"WHAA00024"
"A","American Indian or Alaska Native","All Origins","666",2008,0,24,"IAAA00024"
"A","Asian or Pacific Islander","All Origins","666",2008,0,24,"AAAA00024"
"A","Black or African American","All Origins","666",2008,0,24,"BAAA00024"
"A","All","All Origins","666",2008,0,24,"UAAA00024"
"A","White","Not Hispanic or Latino","666",2008,25,29,"WNAA25029"
"A","White","Hispanic or Latino","666",2008,25,29,"WHAA25029"
"A","American Indian or Alaska Native","All Origins","666",2008,25,29,"IAAA25029"
"A","Asian or Pacific Islander","All Origins","666",2008,25,29,"AAAA25029"
"A","Black or African American","All Origins","666",2008,25,29,"BAAA25029"
"A","All","All Origins","666",2008,25,29,"UAAA25029"
"A","White","Not Hispanic or Latino","666",2008,30,34,"WNAA30034"
"A","White","Hispanic or Latino","666",2008,30,34,"WHAA30034"
"A","American Indian or Alaska Native","All Origins","666",2008,30,34,"IAAA30034"
"A","Asian or Pacific Islander","All Origins","666",2008,30,34,"AAAA30034"
"A","Black or African American","All Origins","666",2008,30,34,"BAAA30034"
"A","All","All Origins","666",2008,30,34,"UAAA30034"
"A","White","Not Hispanic or Latino","666",2008,35,39,"WNAA35039"
"A","White","Hispanic or Latino","666",2008,35,39,"WHAA35039"
"A","American Indian or Alaska Native","All Origins","666",2008,35,39,"IAAA35039"
"A","Asian or Pacific Islander","All Origins","666",2008,35,39,"AAAA35039"
"A","Black or African American","All Origins","666",2008,35,39,"BAAA35039"
"A","All","All Origins","666",2008,35,39,"UAAA35039"
"A","White","Not Hispanic or Latino","666",2008,40,44,"WNAA40044"
"A","White","Hispanic or Latino","666",2008,40,44,"WHAA40044"
"A","American Indian or Alaska Native","All Origins","666",2008,40,44,"IAAA40044"
"A","Asian or Pacific Islander","All Origins","666",2008,40,44,"AAAA40044"
"A","Black or African American","All Origins","666",2008,40,44,"BAAA40044"
"A","All","All Origins","666",2008,40,44,"UAAA40044"
"A","White","Not Hispanic or Latino","666",2008,45,49,"WNAA45049"
"A","White","Hispanic or Latino","666",2008,45,49,"WHAA45049"
"A","American Indian or Alaska Native","All Origins","666",2008,45,49,"IAAA45049"
"A","Asian or Pacific Islander","All Origins","666",2008,45,49,"AAAA45049"
"A","Black or African American","All Origins","666",2008,45,49,"BAAA45049"
"A","All","All Origins","666",2008,45,49,"UAAA45049"
"A","White","Not Hispanic or Latino","666",2008,50,54,"WNAA50054"
"A","White","Hispanic or Latino","666",2008,50,54,"WHAA50054"
"A","American Indian or Alaska Native","All Origins","666",2008,50,54,"IAAA50054"
"A","Asian or Pacific Islander","All Origins","666",2008,50,54,"AAAA50054"
"A","Black or African American","All Origins","666",2008,50,54,"BAAA50054"
"A","All","All Origins","666",2008,50,54,"UAAA50054"
"A","White","Not Hispanic or Latino","666",2008,55,59,"WNAA55059"
"A","White","Hispanic or Latino","666",2008,55,59,"WHAA55059"
"A","American Indian or Alaska Native","All Origins","666",2008,55,59,"IAAA55059"
"A","Asian or Pacific Islander","All Origins","666",2008,55,59,"AAAA55059"
"A","Black or African American","All Origins","666",2008,55,59,"BAAA55059"
"A","All","All Origins","666",2008,55,59,"UAAA55059"
"A","White","Not Hispanic or Latino","666",2008,60,64,"WNAA60064"
"A","White","Hispanic or Latino","666",2008,60,64,"WHAA60064"
"A","American Indian or Alaska Native","All Origins","666",2008,60,64,"IAAA60064"
"A","Asian or Pacific Islander","All Origins","666",2008,60,64,"AAAA60064"
"A","Black or African American","All Origins","666",2008,60,64,"BAAA60064"
"A","All","All Origins","666",2008,60,64,"UAAA60064"
"A","White","Not Hispanic or Latino","666",2008,65,69,"WNAA65069"
"A","White","Hispanic or Latino","666",2008,65,69,"WHAA65069"
"A","American Indian or Alaska Native","All Origins","666",2008,65,69,"IAAA65069"
"A","Asian or Pacific Islander","All Origins","666",2008,65,69,"AAAA65069"
"A","Black or African American","All Origins","666",2008,65,69,"BAAA65069"
"A","All","All Origins","666",2008,65,69,"UAAA65069"
"A","White","Not Hispanic or Latino","666",2008,70,74,"WNAA70074"
"A","White","Hispanic or Latino","666",2008,70,74,"WHAA70074"
"A","American Indian or Alaska Native","All Origins","666",2008,70,74,"IAAA70074"
"A","Asian or Pacific Islander","All Origins","666",2008,70,74,"AAAA70074"
"A","Black or African American","All Origins","666",2008,70,74,"BAAA70074"
"A","All","All Origins","666",2008,70,74,"UAAA70074"
"A","White","Not Hispanic or Latino","666",2008,75,79,"WNAA75079"
"A","White","Hispanic or Latino","666",2008,75,79,"WHAA75079"
"A","American Indian or Alaska Native","All Origins","666",2008,75,79,"IAAA75079"
"A","Asian or Pacific Islander","All Origins","666",2008,75,79,"AAAA75079"
"A","Black or African American","All Origins","666",2008,75,79,"BAAA75079"
"A","All","All Origins","666",2008,75,79,"UAAA75079"
"A","White","Not Hispanic or Latino","666",2008,80,84,"WNAA80084"
"A","White","Hispanic or Latino","666",2008,80,84,"WHAA80084"
"A","American Indian or Alaska Native","All Origins","666",2008,80,84,"IAAA80084"
"A","Asian or Pacific Islander","All Origins","666",2008,80,84,"AAAA80084"
"A","Black or African American","All Origins","666",2008,80,84,"BAAA80084"
"A","All","All Origins","666",2008,80,84,"UAAA80084"
"A","White","Not Hispanic or Latino","666",2008,85,150,"WNAA85150"
"A","White","Hispanic or Latino","666",2008,85,150,"WHAA85150"
"A","American Indian or Alaska Native","All Origins","666",2008,85,150,"IAAA85150"
"A","Asian or Pacific Islander","All Origins","666",2008,85,150,"AAAA85150"
"A","Black or African American","All Origins","666",2008,85,150,"BAAA85150"
"A","All","All Origins","666",2008,85,150,"UAAA85150"
